medicineID,medicineName,genericName,company,disease,currentStock,currentPrice,location,supplier,criticalThreshold,averageMarketPrice,dailyConsumption,stockHistory,priceHistory,supplierDelay,lastUpdatedAt,description
MID001,Augmentin,Amoxicillin/Clavulanate,GSK,Bacterial Infection,150,220.50,Mumbai,Apex Pharma,100,210.00,20,"[200,180,170,160,150]","[210.00,215.50,218.00,220.00,220.50]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID002,Moxikind-CV,Amoxicillin/Clavulanate,Mankind Pharma,Bacterial Infection,200,190.75,Delhi,Reliable Med,120,185.00,25,"[250,240,230,210,200]","[185.00,188.25,190.00,190.50,190.75]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID003,Calpol,Paracetamol,GSK,Fever & Pain,500,30.25,Bangalore,Global Health,300,30.00,10,"[500,480,450,420,400]","[30.00,30.10,30.15,30.20,30.25]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID004,Allegra,Fexofenadine,Sanofi,Allergy,80,150.00,Chennai,MediCorp,50,145.00,5,"[100,95,90,85,80]","[145.00,147.50,148.00,149.00,150.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID005,Omnacortil,Prednisolone,Macleods Pharma,Inflammation,120,90.00,Kolkata,PharmaLink,70,88.00,10,"[150,140,130,125,120]","[88.00,88.50,89.00,89.50,90.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID006,Januvia,Sitagliptin,MSD,Diabetes,40,350.00,Mumbai,Diabetic Care,20,340.00,2,"[50,48,45,42,40]","[340.00,342.50,345.00,347.50,350.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID007,Glycomet,Metformin,USV,Diabetes,300,50.00,Delhi,Sugar Free,180,48.00,30,"[350,330,320,310,300]","[48.00,48.50,49.00,49.50,50.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID008,Thyronorm,Thyroxine,Abbott,Thyroid,250,120.00,Bangalore,Endo Pharma,150,118.00,15,"[300,280,270,260,250]","[118.00,118.50,119.00,119.50,120.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID009,Amlodipine,Amlodipine,Cipla,Hypertension,180,70.00,Chennai,Heart Health,100,68.00,10,"[200,190,185,182,180]","[68.00,68.50,69.00,69.50,70.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID010,Atorvastatin,Atorvastatin,Pfizer,Cholesterol,90,200.00,Kolkata,Lipid Care,60,195.00,8,"[100,98,95,92,90]","[195.00,196.00,197.00,198.00,200.00]",false,"2025-07-18T22:45:00.000Z","Unexpected increase in demand due to seasonal flu outbreak."
